species,taxon_id
Acidaminococcus_fermentans,905
Acidaminococcus_intestini,187327
Acidovorax_citrulli_avenae,80869
Acidovorax_ebreus,721785
Acinetobacter_Acinetobacter_calcoaceticus_Acinetobacter_baumannii__ACB__complex,909768
Acinetobacter_johnsonii,40214
Acinetobacter_junii,40215
Actinomyces_odontolyticus,1660
Actinomyces_sp__oral_taxon_180,651609
Actinomyces_sp__oral_taxon_448,712124
Actinomyces_viscosus,1656
Aeromonas_veronii,654
Aggregatibacter_aphrophilus,732
Aggregatibacter_segnis,739
Akkermansia_muciniphila,239935
Alicycliphilus_denitrificans,179636
Alistipes_putredinis,28117
Alistipes_shahii,328814
Alistipes_sp__HGB5,908612
Anaerococcus_lactolyticus,33032
Anaerococcus_vaginalis,33037
Anaerofustis_stercorihominis,214853
Anaerostipes_caccae,105841
Anaerotruncus_colihominis,169435
Arcobacter_butzleri,28197
Atopobium_parvulum,1382
Atopobium_rimae,1383
Atopobium_vaginae,82135
Azotobacter_vinelandii,354
Bacillus_anthracis_cereus_thuringiensis,1396
Bacteroides_caccae,47678
Bacteroides_clarus,626929
Bacteroides_coprocola,310298
Bacteroides_coprophilus,387090
Bacteroides_dorei_vulgatus,821
Bacteroides_eggerthii,28111
Bacteroides_finegoldii,338188
Bacteroides_fluxus,626930
Bacteroides_fragilis,817
Bacteroides_helcogenes,290053
Bacteroides_intestinalis,329854
Bacteroides_ovatus,28116
Bacteroides_plebeius,310297
Bacteroides_salanitronis,376805
Bacteroides_stercoris,46506
Bacteroides_thetaiotaomicron,818
Bacteroides_uniformis,820
Bacteroides_xylanisolvens,371601
Bifidobacterium_adolescentis,1680
Bifidobacterium_angulatum,1683
Bifidobacterium_animalis,28025
Bifidobacterium_bifidum,1681
Bifidobacterium_breve,1685
Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,28026
Bifidobacterium_dentium,1689
Bifidobacterium_longum,216816
Bilophila_wadsworthia,35833
Blautia_hansenii,1322
Blautia_hydrogenotrophica,53443
Brachyspira_pilosicoli,52584
Brevibacterium_linens,1703
Bulleidia_extructa,118748
Butyrivibrio_crossotus,45851
Campylobacter_concisus,199
Campylobacter_gracilis,824
Campylobacter_hominis,76517
Campylobacter_jejuni,197
Campylobacter_showae,204
Campylobacter_upsaliensis,28080
Candidatus_Phytoplasma_mali,37692
Capnocytophaga_sp__oral_taxon_329,706435
Cardiobacterium_hominis,2718
Catonella_morbi,43997
Citrobacter_koseri,545
Citrobacter_rodentium,67825
Citrobacter_sp__30_2,1639133
Citrobacter_youngae,133448
Clostridiales_bacterium_1_7_47FAA,457421
Clostridium_bolteae,208479
Clostridium_butyricum,1492
Clostridium_hylemonae,89153
Clostridium_leptum,1535
Clostridium_methylpentosum,84026
Clostridium_perfringens,1502
Clostridium_ramosum,1547
Clostridium_saccharolyticum,84030
Clostridium_scindens,29347
Clostridium_sp__7_2_43FAA,457396
Clostridium_sp__D5,556261
Clostridium_sp__HGF2,908340
Clostridium_sp__L2_50,2860053
Clostridium_spiroforme,29348
Clostridium_symbiosum,1512
Collinsella_aerofaciens,74426
Collinsella_intestinalis,147207
Collinsella_stercoris,147206
Comamonas_testosteroni,285
Coprobacillus_sp__29_1,100884
Coprococcus_catus,116085
Coprococcus_comes,410072
Coprococcus_eutactus,33043
Corynebacterium_amycolatum,43765
Corynebacterium_kroppenstedtii,161879
Corynebacterium_variabile,1727
Cronobacter_sakazakii_turicensis,413502
Cryptobacterium_curtum,84163
Delftia_acidovorans,80866
Desulfovibrio_desulfuricans,876
Desulfovibrio_piger,901
Desulfovibrio_sp__3_1_syn3,457398
Desulfovibrio_vulgaris,881
Dialister_invisus,218538
Dialister_micraerophilus,309120
Dickeya_dadantii,204038
Dorea_formicigenerans,39486
Dorea_longicatena,88431
Dysgonomonas_mossii,163665
Edwardsiella_ictaluri_tarda,67780
Eggerthella_lenta,84112
Eggerthella_sp__YY7918,502558
Enhydrobacter_aerosaccus,225324
Enterobacter_aerogenes,548
Enterobacter_asburiae,61645
Enterobacter_cancerogenus,69218
Enterobacter_cloacae,550
Enterobacter_hormaechei_cloacae,158836
Enterobacter_sp__638,399742
Enterobacteriaceae_bacterium_9_2_54FAA,469613
Enterococcus_casseliflavus,37734
Enterococcus_faecalis,1351
Enterococcus_faecium,1352
Enterococcus_gallinarum,1353
Erysipelotrichaceae_bacterium_3_1_53,658659
Erysipelotrichaceae_bacterium_5_2_54FAA,552396
Escherichia_albertii,208962
Escherichia_coli,562
Eubacterium_biforme,1735
Eubacterium_cylindroides,39483
Eubacterium_dolichum,31971
Eubacterium_eligens,39485
Eubacterium_hallii,39488
Eubacterium_limosum,1736
Eubacterium_rectale,39491
Eubacterium_saburreum,467210
Eubacterium_siraeum,39492
Eubacterium_ventriosum,39496
Faecalibacterium_prausnitzii,853
Filifactor_alocis,143361
Finegoldia_magna,1260
Fusobacterium_gonidiaformans,849
Fusobacterium_mortiferum,850
Fusobacterium_nucleatum,851
Fusobacterium_periodonticum,860
Fusobacterium_sp__D12,556263
Fusobacterium_ulcerans,861
Fusobacterium_varium,856
Gardnerella_vaginalis,2702
Gemella_haemolysans,1379
Gemella_morbillorum,29391
Gemella_sanguinis,84135
Granulicatella_adiacens,46124
Granulicatella_elegans,137732
Haemophilus_haemolyticus,726
Haemophilus_influenzae,727
Haemophilus_parainfluenzae,729
Haemophilus_pittmaniae,249188
Helicobacter_cinaedi,213
Helicobacter_pullorum,35818
Helicobacter_pylori,210
Holdemania_filiformis,61171
Klebsiella_oxytoca,571
Klebsiella_variicola_pneumoniae,244366
Lachnospiraceae_bacterium_1_4_56FAA,2683688
Lachnospiraceae_bacterium_2_1_46FAA,2683689
Lachnospiraceae_bacterium_3_1_57FAA_CT1,658086
Lactobacillus_acidophilus,1579
Lactobacillus_amylolyticus,83683
Lactobacillus_amylovorus,1604
Lactobacillus_animalis,1605
Lactobacillus_brevis,1580
Lactobacillus_casei,1582
Lactobacillus_coleohominis,181675
Lactobacillus_coryniformis,1610
Lactobacillus_crispatus,47770
Lactobacillus_delbrueckii,1584
Lactobacillus_fermentum,1613
Lactobacillus_fructivorans,1614
Lactobacillus_gasseri,1596
Lactobacillus_helveticus,1587
Lactobacillus_iners,147802
Lactobacillus_johnsonii,33959
Lactobacillus_oris,1632
Lactobacillus_plantarum,1590
Lactobacillus_reuteri,1598
Lactobacillus_rhamnosus,47715
Lactobacillus_ruminis,1623
Lactobacillus_sakei,1599
Lactobacillus_salivarius,1624
Lactobacillus_sanfranciscensis,1625
Lactobacillus_ultunensis,227945
Lactobacillus_vaginalis,1633
Lactococcus_garvieae,1363
Lactococcus_lactis,1358
Lautropia_mirabilis,47671
Leptotrichia_hofstadii,157688
Leuconostoc_citreum,33964
Leuconostoc_fallax,1251
Leuconostoc_gelidum,1244
Leuconostoc_lactis,1246
Leuconostoc_mesenteroides,1245
Marvinbryantia_formatexigens,168384
Megasphaera_elsdenii,907
Megasphaera_genomosp__type_1,699192
Megasphaera_micronuciformis,187326
Meiothermus_silvanus,52022
Methanobrevibacter_smithii,2173
Methanosphaera_stadtmanae,2317
Micrococcus_luteus,1270
Mitsuokella_multacida,52226
Mobiluncus_curtisii,2051
Mycoplasma_hominis,2098
Neisseria_cinerea,483
Neisseria_elongata,495
Neisseria_flavescens,484
Neisseria_gonorrhoeae,485
Neisseria_meningitidis,487
Neisseria_mucosa,488
Neisseria_subflava,28449
Odoribacter_splanchnicus,28118
Oenococcus_oeni,1247
Olsenella_uli,133926
Oribacterium_sinus,237576
Oribacterium_sp__oral_taxon_078,608534
Oribacterium_sp__oral_taxon_108,712414
Oscillibacter_valericigenes,351091
Oxalobacter_formigenes,847
Pantoea_ananatis,553
Pantoea_sp__aB,517433
Pantoea_vagans,470934
Parabacteroides_distasonis,823
Parabacteroides_merdae,46503
Paraprevotella_xylaniphila,454155
Parascardovia_denticolens,78258
Parasutterella_excrementihominis,487175
Parvimonas_micra,33033
Pediococcus_acidilactici,1254
Pediococcus_pentosaceus,1255
Peptoniphilus_duerdenii,507750
Peptoniphilus_harei,54005
Peptoniphilus_lacrimalis,33031
Peptoniphilus_sp__oral_taxon_375,712430
Peptostreptococcus_anaerobius,1261
Peptostreptococcus_stomatis,341694
Phascolarctobacterium_succinatutens,626940
Porphyromonas_asaccharolytica,28123
Porphyromonas_uenonis,281920
Prevotella_bivia,28125
Prevotella_buccae,28126
Prevotella_buccalis,28127
Prevotella_copri,165179
Prevotella_dentalis,52227
Prevotella_denticola,28129
Prevotella_disiens,28130
Prevotella_melaninogenica,28132
Prevotella_multisaccharivorax,310514
Prevotella_nigrescens,28133
Prevotella_oralis,28134
Prevotella_tannerae,76122
Prevotella_timonensis,386414
Propionibacterium_acnes,1747
Propionibacterium_freudenreichii,1744
Proteus_mirabilis,584
Proteus_penneri,102862
Providencia_rustigianii,158850
Pseudoalteromonas_haloplanktis,228
Pseudoalteromonas_sp__SM9913,234831
Pseudoflavonifractor_capillosus,106588
Pseudomonas_aeruginosa,287
Pseudomonas_brassicacearum_fluorescens,930166
Pseudomonas_fluorescens,294
Pseudomonas_fulva,47880
Pseudomonas_mendocina,300
Pseudomonas_putida,303
Pseudomonas_stutzeri,316
Pseudomonas_syringae_amygdali,47877
Pyramidobacter_piscolens,638849
Rahnella_aquatilis,34038
Rahnella_sp__Y9602,2703885
Roseburia_hominis,301301
Roseburia_intestinalis,166486
Roseburia_inulinivorans,360807
Rothia_dentocariosa,2047
Rothia_mucilaginosa,43675
Ruminococcaceae_bacterium_D16,552398
Ruminococcus_bromii,40518
Ruminococcus_champanellensis,1161942
Ruminococcus_lactaris,46228
Ruminococcus_sp__5_1_39BFAA,457412
Ruminococcus_sp__SR1_5,657323
Salmonella_bongori,54736
Salmonella_enterica,28901
Scardovia_inopinata,78259
Selenomonas_artemidis,671224
Selenomonas_noxia,135083
Selenomonas_sputigena,69823
Serratia_proteamaculans,28151
Shuttleworthia_satelles,177972
Slackia_exigua,84109
Solobacterium_moorei,102148
Staphylococcus_aureus,1280
Staphylococcus_carnosus,1281
Staphylococcus_saprophyticus,29385
Staphylococcus_warneri,1292
Streptococcus_agalactiae,1311
Streptococcus_anginosus,1328
Streptococcus_australis,113107
Streptococcus_constellatus,76860
Streptococcus_cristatus,45634
Streptococcus_downei,1317
Streptococcus_dysgalactiae,1334
Streptococcus_equinus,1335
Streptococcus_gallolyticus,315405
Streptococcus_gordonii,1302
Streptococcus_infantarius,102684
Streptococcus_infantis,68892
Streptococcus_mitis,28037
Streptococcus_mutans,1309
Streptococcus_oralis,1303
Streptococcus_parasanguinis,1318
Streptococcus_parauberis,1348
Streptococcus_peroris,68891
Streptococcus_pneumoniae,1313
Streptococcus_pseudopneumoniae,257758
Streptococcus_pyogenes,1314
Streptococcus_salivarius,1304
Streptococcus_sanguinis,1305
Streptococcus_sp__C150,435842
Streptococcus_sp__M143,563037
Streptococcus_sp__M334,563038
Streptococcus_sp__oral_taxon_056,712620
Streptococcus_sp__oral_taxon_071,712630
Streptococcus_thermophilus,1308
Streptococcus_vestibularis,1343
Subdoligranulum_variabile,214851
Succinatimonas_hippei,626938
Sutterella_wadsworthensis,40545
Tannerella_forsythia,28112
Treponema_succinifaciens,167
Tropheryma_whipplei,2039
Turicibacter_sanguinis,154288
Veillonella_atypica,39777
Veillonella_dispar,39778
Veillonella_parvula,29466
Veillonella_sp__oral_taxon_158,671228
Veillonella_sp__oral_taxon_780,671229
Verminephrobacter_eiseniae,364317
Vibrio_harveyi,669
Victivallis_vadensis,172901
Weissella_cibaria,137591
Weissella_paramesenteroides,1249
Xanthomonas_campestris,339
_Bacteroides__pectinophilus,384638
_Clostridium__bartlettii,261299
_Clostridium__hiranonis,89152
_Ruminococcus__gnavus,33038
_Ruminococcus__obeum,40520
_Ruminococcus__torques,33039
butyrate_producing_bacterium,2811711
butyrate_producing_bacterium_SS3_4,245014
unclassified_Fusobacterium,2648384
unclassified_Lachnospiraceae,186928